index	label	sentence	POS	numOfMetaphor
ahb-fragment51 725	0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1	Last week he promised to supply us with a written explanation of the way his company had treated Debbie, but it never arrived.	ADJ NOUN PRON VERB PART VERB PRON ADP DET VERB NOUN ADP DET NOUN ADJ NOUN VERB VERB PROPN CCONJ PRON ADV VERB	5
kbw-fragment17 5989	0 0 1 0 0 1 0 0 0	Cos we've got the AGM in two weeks time	ADP PRON VERB DET PROPN ADP NUM NOUN NOUN	2
kbc-fragment13 6004	0 0 1 0 0 0 0 1 0 0 1 0 1 0	Well I reckon she lived er a couple of years after the stroke Gordon.	INTJ PRON VERB PRON VERB INTJ DET NOUN ADP NOUN ADP DET NOUN PROPN	4
kbp-fragment09 3851	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	But now yeah it took him a while to calm down but he's a very nice fellow now, very nice chap.	CCONJ ADV INTJ PRON VERB PRON DET NOUN PART VERB PART CCONJ PRON DET ADV ADJ NOUN ADV ADV ADJ NOUN	1
kbp-fragment09 4105	1 0 0	Drawing, oh well!	NOUN INTJ INTJ	1
kcf-fragment14 1283	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Yeah but, I mean, people are allowed now to put their own in aren't they?	INTJ CCONJ PRON VERB NOUN VERB VERB ADV PART VERB ADJ ADJ NOUN VERB PRON	0
al0-fragment06 184	0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0	Since 1986 Rytasha has broken awayfrom her guru and set up on her own with a charity called Food Relief International, which raises money from the fiercely competitive matrons of Palm Beach and distributes it to the starving people of Bangladesh.	ADP NUM PROPN VERB VERB ADP ADJ NOUN CCONJ VERB PART ADP ADJ ADJ ADP DET NOUN VERB PROPN PROPN PROPN ADJ VERB NOUN ADP DET ADV ADJ NOUN ADP PROPN PROPN CCONJ VERB PRON ADP DET VERB NOUN ADP PROPN	8
ea7-fragment03 820	0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0	A royal banner now bestowed respectability on a cause; kings' wars were assumed to be for the sake of peace, even when cripplingly expensive and increasingly savage.	DET ADJ NOUN ADV VERB NOUN ADP DET NOUN NOUN NOUN VERB VERB PART VERB ADP DET NOUN ADP NOUN ADV ADV ADV ADJ CCONJ ADV ADJ	5
cdb-fragment02 456	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0	The house that when he first saw it had seemed to float on a raft of golden mist, now lay in a wilderness, amidst ragged grass and straggling bushes and trees dead from the heat.	DET NOUN ADJ ADV PRON ADV VERB PRON VERB VERB PART VERB ADP DET NOUN ADP ADJ NOUN ADV VERB ADP DET NOUN ADP ADJ NOUN CCONJ VERB NOUN CCONJ NOUN ADJ ADP DET NOUN	9
crs-fragment01 6	1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 1	This chapter is an account of the way they perceived attempts to develop integrated provision for under fives and the barriers in attitudes and systems which were encountered.	DET NOUN VERB DET NOUN ADP DET NOUN PRON VERB NOUN PART VERB ADJ NOUN ADP ADP NOUN CCONJ DET NOUN ADP NOUN CCONJ NOUN ADJ VERB VERB	10
as6-fragment01 12	0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0	The 1964 Labour Government was elected on a tide of impatience at the slackening pace of social reform, but also of optimism that little more than economic growth, fuelled by technological change, was needed to remove the main causes of urban deprivation( MacGregor, 1981).	DET NUM PROPN PROPN VERB VERB ADP DET NOUN ADP NOUN ADP DET VERB NOUN ADP ADJ NOUN CCONJ ADV ADP NOUN ADJ ADV ADJ ADP ADJ NOUN VERB ADP ADJ NOUN VERB VERB PART VERB DET ADJ NOUN ADP ADJ NOUN PROPN NUM	8
fpb-fragment01 1180	1 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	After being given clearance to land, Miranda, following her instructor's directions, started her approach; she throttled back to reduce speed and control her descent as she flew towards the threshold the point just before she intended to touch down.	ADP VERB VERB NOUN ADP NOUN PROPN VERB ADJ NOUN NOUN VERB ADJ NOUN PRON VERB ADV PART VERB NOUN CCONJ VERB ADJ NOUN ADP PRON VERB ADP DET NOUN DET NOUN ADV ADP PRON VERB PART VERB PART	9
cb5-fragment02 3376	0 0	I promise.	PRON VERB	0
a1f-fragment06 144	0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0	Sir: I was interested by your juxtaposition of Poll predicts 42-seat majority for Labour with Tories hold on( 30 September), the latter referring, of course, to the Conservative victory in Wandsworth, the significance of which appears to have been almost totally ignored by the media.	NOUN PRON VERB ADJ ADP ADJ NOUN ADP PROPN VERB NUM NOUN ADP PROPN ADP PROPN VERB PART NUM PROPN DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADP PROPN DET NOUN ADP ADJ VERB PART VERB VERB ADV ADV VERB ADP DET NOUN	6
kbd-fragment07 2260	0 1 0 1 0	Anything goes fast after Friday.	NOUN VERB ADV ADP PROPN	2
a8r-fragment02 56	0 0 0 0 0 0 0 0	The process becomes demand driven by the user.	DET NOUN VERB NOUN VERB ADP DET NOUN	0
a1n-fragment18 363	0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0	Davis, of course, would have walked into England's team in Poland a week on Wednesday; until last season's prolonged suspension, followed by injury, Bobby Robson had him firmly pencilled in as Bryan Robson's replacement.	PROPN ADP NOUN VERB VERB VERB ADP PROPN NOUN ADP PROPN DET NOUN ADP PROPN ADP ADJ NOUN VERB NOUN VERB ADP NOUN PROPN PROPN VERB PRON ADV VERB ADP ADP PROPN PROPN NOUN	8
cdb-fragment02 403	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	The Suffolk police had begun hunting up previous owners of Wyvis Hall and they had been alerted that a Verne-Smith lived in their area.	DET PROPN NOUN VERB VERB VERB PART ADJ NOUN ADP PROPN PROPN CCONJ PRON VERB VERB VERB ADP DET PROPN VERB ADP ADJ NOUN	2
fpb-fragment01 1222	0 0 0 0 0 0 0 0 0 0 0 0 0 0	She says the Colonel's taken up petit point, and Miss Hawkins is teaching him.	PRON VERB DET PROPN VERB PART NOUN NOUN CCONJ PROPN PROPN VERB VERB PRON	0
a1e-fragment01 3	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	IT SEEMS that Roland Franklin, the latest unbundler to appear in the UK, has made a fatal error in the preparation of his ̴�697m break-up bid for stationery and packaging group DRG.	PRON VERB ADP PROPN PROPN DET ADJ NOUN PART VERB ADP DET PROPN VERB VERB DET ADJ NOUN ADP DET NOUN ADP ADJ X NOUN NOUN ADP NOUN CCONJ NOUN NOUN PROPN	3
bpa-fragment14 2244	0 0 0 1 0 1 0 0 0 0 0	I think we owe it to that pathetic creature in there.	PRON VERB PRON VERB PRON ADP DET ADJ NOUN ADP ADV	2
b1g-fragment02 1193	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Each of these may be further subdivided and the typology shown in Fig. 10.1 draws upon the classic work of Burton and Kates( 1964) in separating geophysical from biological hazards and Zeigler et al.( 1983) in distinguishing public( or what we might call societal) hazards from private( individual) ones.	DET ADP DET VERB VERB ADV VERB CCONJ DET NOUN VERB ADP PUNCT NUM VERB ADP DET ADJ NOUN ADP PROPN CCONJ PROPN NUM ADP VERB ADJ ADP ADJ NOUN CCONJ PROPN PROPN PUNCT NUM ADP VERB NOUN CCONJ NOUN PRON VERB VERB NOUN NOUN ADP ADJ ADJ NOUN	0
a7s-fragment03 51	0 0 0 1 1 0 0 0 1 0 1	You might have assumed this was the police bluffing and bullying.	PRON VERB VERB VERB DET VERB DET NOUN NOUN CCONJ NOUN	4
kbj-fragment17 1525	0 0 0	Have you got	VERB PRON VERB	0
as6-fragment01 30	1 1 1 0 0 0 1 0 0 1 0 1 1 0 0	This mixture, heated by recession and high unemployment, inevitably generates a high level of crime.	DET NOUN VERB ADP NOUN CCONJ ADJ NOUN ADV VERB DET ADJ NOUN ADP NOUN	7
cb5-fragment02 3222	0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0	There's Sean O'Farrell and the master left in a hurry this hour past for New York City, both without a bite inside them and now you.	ADV PROPN PROPN CCONJ DET NOUN VERB ADP DET NOUN DET NOUN NOUN ADP PROPN PROPN PROPN CCONJ ADP DET NOUN ADP PRON CCONJ ADV PRON	4
fet-fragment01 8	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1	He sat down and saw a bifurcated path, simmering with gold heat round and under the rising, spreading blue-black-green down-pointing vanes of a great pine, still widening where the frame interrupted its soaring.	PRON VERB PART CCONJ VERB DET VERB NOUN VERB ADP ADJ NOUN ADV CCONJ ADP DET VERB VERB ADJ VERB NOUN ADP DET ADJ NOUN ADV VERB ADV DET NOUN VERB ADJ NOUN	7
b1g-fragment02 1431	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Additional algorithms are used to model total building damage costs for each grid cell based on water-depth and speed-depth rating curves.	ADJ NOUN VERB VERB PART VERB ADJ NOUN NOUN NOUN ADP DET NOUN NOUN VERB ADP NOUN CCONJ NOUN NOUN NOUN	0
a9j-fragment01 39	0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1	Its significance lies in its double message: that the aim of the Palestinian struggle is the establishment of Palestinian independence, and that this independence is regarded as being not at Israel's expense.	ADJ NOUN VERB ADP ADJ ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN ADP ADJ NOUN CCONJ ADP DET NOUN VERB VERB ADP VERB ADV ADP PROPN NOUN	12
kcu-fragment02 1576	0 0 0 0 1 0 0	You don't get nothing on them chickens?	PRON VERB VERB NOUN ADP PRON NOUN	1
a2d-fragment05 37	0 0 0 0 0 0 0 0 0 0 1 0 0	The John Wayne stereotype was rejected, along with his conservative values, he said.	DET PROPN PROPN NOUN VERB VERB ADP ADP ADJ ADJ NOUN PRON VERB	1
amm-fragment02 1755	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Most of the popular books showing the Mesozoic giants in their natural setting portray them wallowing about in swamps flanked by deep vegetation, their bodies largely under water.	ADJ ADP DET ADJ NOUN VERB DET ADJ NOUN ADP ADJ ADJ NOUN NOUN PRON VERB ADP ADP NOUN VERB ADP ADJ NOUN ADJ NOUN ADV ADP NOUN	2
a3c-fragment05 228	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	The people of Munich call their version of Weissbier breakfast beer and have it with a pair of coddled veal sausages.	DET NOUN ADP PROPN VERB ADJ NOUN ADP PROPN NOUN NOUN CCONJ VERB PRON ADP DET NOUN ADP VERB ADJ NOUN	0
clp-fragment01 885	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0	Often the manual has to be provided hurriedly at the end of a project when the budget is running out, and it is regarded as a tiresome chore still required after the essential design work has been completed.	ADV DET NOUN VERB PART VERB VERB ADV ADP DET NOUN ADP DET NOUN ADV DET NOUN VERB VERB PART CCONJ PRON VERB VERB ADP DET ADJ NOUN ADV VERB ADP DET ADJ NOUN NOUN VERB VERB VERB	6
kbw-fragment17 6209	0 0 0 0 0 0 0	But her mum I mean I know	CCONJ ADJ NOUN PRON VERB PRON VERB	0
acj-fragment01 5	0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1	For practical purposes, the culpable causing of another person's death may fairly be regarded as the most serious offence in the criminal calendar.	ADP ADJ NOUN DET ADJ NOUN ADP DET NOUN NOUN VERB ADV VERB VERB ADP DET ADV ADJ NOUN ADP DET ADJ NOUN	5
kbp-fragment09 3844	0 0 0 0 0 0 0 0 0 0	Cup of tea, turn the car round and go back.	PROPN ADP NOUN VERB DET NOUN ADV CCONJ VERB ADV	0
kbw-fragment17 6285	0 0 0 0 1	Yeah haven't got to worry.	INTJ VERB VERB PART VERB	1
kbh-fragment02 119	0 0 0 0 0 0 0 0 0 0 0	Listen, go away She doesn't say go away very much now.	VERB VERB ADV PRON VERB VERB VERB ADV ADV ADV ADV	0
g0l-fragment01 302	0 0 1 0 0	They never stopped being Germans.	PRON ADV VERB VERB PROPN	1
a1x-fragment03 158	1 0 0 1 1 0 0	This problem has spread to the UK.	DET NOUN VERB VERB ADP DET PROPN	3
kbw-fragment42 14937	0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Seemed to have got rather a lot of margarine on there, hope you're going to eat all your toast today, not like yesterday	VERB PART VERB VERB ADV DET NOUN ADP NOUN ADP ADV VERB PRON VERB PART VERB DET ADJ NOUN NOUN ADV ADP NOUN	1
bpa-fragment14 2154	0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1	Delaney took risks, plummeting feet first through the hatchways, and partly breaking his descent with the handrails, falling like a parachutist, rolling instantly deploying his Uzi against	PROPN VERB NOUN VERB NOUN ADV ADP DET NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN VERB ADP DET NOUN VERB ADV VERB ADJ PROPN ADP	5
b1g-fragment02 1502	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	For instance, Lioy and Daisey( 1987), in their work on the monitoring of toxic air pollution in New Jersey, construct what they term a microinventory for each of three towns, comprising the locations of chemical plants, metal processing plants, paint spray manufacturers and so on.	ADP NOUN PROPN CCONJ PROPN NUM ADP ADJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN ADP PROPN PROPN VERB NOUN PRON VERB DET NOUN ADP DET ADP NUM NOUN VERB DET NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ ADV ADV	6
a1h-fragment06 126	0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0	FISA was then a relatively unimportant body which organised European and other championships and participated in the running of Olympic regattas.	PROPN VERB ADV DET ADV ADJ NOUN ADJ VERB ADJ CCONJ ADJ NOUN CCONJ VERB ADP DET NOUN ADP ADJ NOUN	5
kcf-fragment14 1438	0 0 1	hasn't forgotten that.	VERB VERB DET	1
b1g-fragment02 1254	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	The very narrow emergency planning zones contrast with those in the USA( Collins 1981), where planning is required up to 16 km from the site to cover exposure to radiation plumes.	DET ADV ADJ NOUN NOUN NOUN VERB ADP DET ADP DET PROPN PROPN NUM ADV NOUN VERB VERB PART ADP NUM NOUN ADP DET NOUN PART VERB NOUN ADP NOUN NOUN	0
amm-fragment02 1757	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Because their nasal openings were on the top of their heads they could even continue to breathe if it became necessary( see p. 115) to totally submerge.	ADP ADJ ADJ NOUN VERB ADP DET NOUN ADP ADJ NOUN PRON VERB ADV VERB PART VERB ADP PRON VERB ADJ VERB NOUN NUM PART ADV VERB	0
kbh-fragment01 51	0 0 1 0 1 0 0 0 0	Well don't put it on too loud, will you?	INTJ VERB VERB PRON PART ADV ADJ VERB PRON	2
kbd-fragment07 2536	0 0	Mind you	VERB PRON	0
clp-fragment01 807	0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	Some peaks of demand can be dealt with by using consultants, but they tend to be expensive and do not always fit well with ill-defined but important factors such as the favoured style of the organisation.	DET NOUN ADP NOUN VERB VERB VERB ADP ADP VERB NOUN CCONJ PRON VERB PART VERB ADJ CCONJ VERB ADV ADV VERB ADV ADP VERB CCONJ ADJ NOUN ADJ ADP DET ADJ NOUN ADP DET NOUN	6
al2-fragment23 255	0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0	Michael Freeman, the solicitor who advised the members on court action, said yesterday: This will cause the most dreadful hardship.	PROPN PROPN DET NOUN NOUN VERB DET NOUN ADP NOUN NOUN VERB NOUN DET VERB VERB DET ADV ADJ NOUN	3
kbw-fragment04 2576	0 0 0 0 0 0 0 0 0 0	You'll have to get to know is he in your?	PRON VERB PART VERB PART VERB VERB PRON ADP ADJ	0
alp-fragment01 84	1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0	In the first group session the counselling method is registered in the course tutor's notes( Menary, 1986) by the explanation: This session aims to get participants to consider the subject of alcohol in ways they had not thought of in the past( p. 3).	ADP DET ADJ NOUN NOUN DET NOUN NOUN VERB VERB ADP DET NOUN NOUN NOUN PROPN NUM ADP DET NOUN DET NOUN VERB PART VERB NOUN PART VERB DET NOUN ADP NOUN ADP NOUN PRON VERB ADV VERB ADP ADP DET NOUN NOUN NUM	10
as6-fragment01 41	0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	As a consequence an underclass was evolving football hooligans, muggers, inner city rioters somewhat more frightening than their Dickensian forebears because they were mobile and all too visible.	ADP DET NOUN DET NOUN VERB VERB NOUN NOUN NOUN ADJ NOUN VERB ADV ADV ADJ ADP ADJ ADJ NOUN ADP PRON VERB ADJ CCONJ ADV ADV ADJ	1
kcv-fragment42 4257	0 0 0 0 0 0 0	Move in there but let her stand	VERB ADV ADV CCONJ VERB PRON VERB	0
kbp-fragment09 3948	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0	and he claims to be er able to move things and do the poltergeist stunt, you know?	CCONJ PRON VERB PART VERB INTJ ADJ PART VERB NOUN CCONJ VERB DET ADJ NOUN PRON VERB	1
c8t-fragment01 27	0 0 0 0 0 0 0 1 0 0 0 0 0 0 0	He rang and there was only a short delay before Alice Mair opened the door.	PRON VERB CCONJ ADV VERB ADV DET ADJ NOUN ADP PROPN PROPN VERB DET NOUN	1
bpa-fragment14 2236	0 1 0 0 1 1 0 0	She flushed, but held on to the phone.	PRON VERB CCONJ VERB PART ADP DET NOUN	3
alp-fragment01 71	0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	You will be expected to keep a drink diary throughout the course, and make attempts at reducing the amount you drink if it is greater than accepted healthy drinking levels.	PRON VERB VERB VERB PART VERB DET NOUN NOUN ADP DET NOUN CCONJ VERB NOUN ADP VERB DET NOUN PRON VERB ADP PRON VERB ADJ ADP VERB ADJ NOUN NOUN	4
kcu-fragment02 1492	0 0 0 0 0 0 0 0 0 0 1	Right on top of him and it turned round and smacked	ADV ADP NOUN ADP PRON CCONJ PRON VERB ADV CCONJ VERB	1
as6-fragment02 364	0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0	The need to support the police was accepted by both the Labour and the Conservative speakers in the parliamentary debate on the riots, and was established as a benchmark for the official response to the riots long before the Scarman Report was published in November 1981.	DET NOUN PART VERB DET NOUN VERB VERB ADP CCONJ DET PROPN CCONJ DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADV ADP DET PROPN PROPN VERB VERB ADP PROPN NUM	8
bpa-fragment14 2185	0 0 0 0 0 0 1 0	He kept wondering how it had got Silk.	PRON VERB VERB ADV PRON VERB VERB PROPN	1
ajf-fragment07 223	0 0 0 1	And virtue is rewarded.	CCONJ NOUN VERB VERB	1
kbc-fragment13 6337	0 0 0 0 0	Has a leaflet come through.	VERB DET NOUN VERB PART	0
kcv-fragment42 4667	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Well not you know cleaning so I don't know what kind of work they do.	INTJ ADV PRON VERB VERB ADV PRON VERB VERB NOUN NOUN ADP NOUN PRON VERB	0
kbw-fragment11 4264	0 0 0 0 0 0	I think he would wouldn't he?	PRON VERB PRON VERB VERB PRON	0
ccw-fragment03 1644	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	The man you want to see, I said, is called Matthew McIllvanney and his office is the pink building with the outside staircase.	DET NOUN PRON VERB PART VERB PRON VERB VERB VERB PROPN PROPN CCONJ ADJ NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN	0
kcv-fragment42 4327	0 0	Hmm yes	INTJ INTJ	0
crs-fragment01 77	0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	I knew it was right for him this is where he learnt to join in and be like other children.	PRON VERB PRON VERB ADJ ADP PRON DET VERB ADV PRON VERB PART VERB PART CCONJ VERB ADP ADJ NOUN	1
c8t-fragment01 129	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	Anthony, recognizing incompetence, grasped Dalgliesh's hair firmly with a sticky hand and he felt the momentary touch of a cheek, so soft that it was like the fall of a petal.	PROPN VERB NOUN VERB PROPN NOUN ADV ADP DET ADJ NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN ADV ADJ ADP PRON VERB ADP DET NOUN ADP DET NOUN	2
acj-fragment01 51	0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0	The Home Office is not bound by those opinions, and appears to depart from them frequently.	DET PROPN PROPN VERB ADV VERB ADP DET NOUN CCONJ VERB PART VERB ADP PRON ADV	4
a1k-fragment02 60	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0	Marriott was the chirpy Cockney sparrer who lead The Small Faces, who performed that strange pigeon-toed shuffle on Top of the Pops and wrote Lazy Sunday Afternoon.	PROPN VERB DET ADJ PROPN NOUN NOUN VERB DET PROPN PROPN NOUN VERB ADP ADJ ADJ NOUN ADP PROPN ADP DET PROPN CCONJ VERB PROPN PROPN PROPN	4
ab9-fragment03 941	0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0	I mean, they're not open twelve hours like my shops, and they aren't using the space.	PRON VERB PRON ADV ADJ NUM NOUN ADP ADJ NOUN CCONJ PRON VERB VERB DET NOUN	2
g0l-fragment01 276	0 0 0 0 0	They wanted to go there.	PRON VERB PART VERB ADV	0
b1g-fragment02 748	1 1 1 0 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1	In this way the chapters in this part present a number of perspectives which essentially complement and amplify the discussion in the previous part.	ADP DET NOUN DET NOUN ADP DET NOUN VERB DET NOUN ADP NOUN ADJ ADV VERB CCONJ VERB DET NOUN ADP DET ADJ NOUN	12
kcu-fragment02 1958	0 1 0 0 0 0 0	They got their head down, see that	PRON VERB ADJ NOUN PART VERB ADP	1
b1g-fragment02 1366	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	They propose a national radiological spatial information system and, in a pilot project in Cumbria, have integrated several layers of data within ARC/INFO to show what this might involve( Fig. 10.2).	PRON VERB DET ADJ ADJ ADJ NOUN NOUN CCONJ ADP DET NOUN NOUN ADP PROPN VERB VERB ADJ NOUN ADP NOUN ADP PROPN PART VERB NOUN DET VERB VERB PUNCT NUM	0
ac2-fragment06 1263	0 0 1 0 0 0	Tell me about it, he replied.	VERB PRON ADP PRON PRON VERB	1
a3p-fragment09 196	0 0 0 0 1 0 0 0 0 0 0 0	Precisely next door to this is a restaurant called The Great House.	ADV ADJ NOUN ADP DET VERB DET NOUN VERB DET PROPN PROPN	1
kbh-fragment02 256	0 0 0 0 0 0	Well finish your mouthful first, please.	INTJ VERB ADJ ADJ ADV INTJ	0
as6-fragment01 70	0 0 0 0 0 0 0 1 1 0 0 1 0 1 0	Leech and Amin( 1988, p. 14) summarize this approach, not unfairly, in the following terms:	PROPN CCONJ PROPN NUM NOUN NUM VERB DET NOUN ADV ADV ADP DET ADJ NOUN	4
kbd-fragment07 2464	0 0 0 0 0 0	to be getting on with it.	PART VERB VERB PART ADP PRON	0
b1g-fragment02 1241	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Each WRA is required to produce a waste disposal plan and these are starting to appear.	DET NOUN VERB VERB PART VERB DET NOUN NOUN NOUN CCONJ DET VERB VERB PART VERB	0
b1g-fragment02 985	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	Many other companies, of course, are supporting environmental work but IBM seems almost to be unique in its corporate commitment to use of high technology for facilitating sustainable development.	ADJ ADJ NOUN ADP NOUN VERB VERB ADJ NOUN CCONJ PROPN VERB ADV PART VERB ADJ ADP ADJ ADJ NOUN ADP NOUN ADP ADJ NOUN ADP VERB ADJ NOUN	0
a1f-fragment08 163	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	His problem will be that Mrs Thatcher might decide to do it first, and then she will garner the votes.	ADJ NOUN VERB VERB ADP PROPN PROPN VERB VERB PART VERB PRON ADV CCONJ ADV PRON VERB VERB DET NOUN	0
a1h-fragment05 77	0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0	First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All( 1947), which demonstrated a new kind of plotless opera only now reaching a wider currency through the stage works of Philip Glass.	ADV VERB NUM PROPN ADP NUM PROPN VERB ADP NUM CCONJ ADV DET PROPN ADP PRON DET NUM ADJ VERB DET ADJ NOUN ADP NOUN NOUN ADV ADV VERB DET ADJ NOUN ADP DET NOUN NOUN ADP PROPN PROPN	9
kbc-fragment13 6259	0 0 0 0 0 0 0 0 0 0 0 0	And plus he's, he, he, he, he married an heiress you know.	CCONJ CCONJ PRON PRON PRON PRON PRON VERB DET NOUN PRON VERB	0
a8n-fragment19 325	0 1 0 1 0 0 1 0 0 1 0 1 0 0	Finally, with Arsenal pressing hard, he clawed away Quinn's careful header from Thomas's drag-back.	ADV ADP PROPN VERB ADV PRON VERB PART PROPN ADJ NOUN ADP PROPN NOUN	5
kcf-fragment14 1450	0 0	I mean	PRON VERB	0
a3p-fragment09 176	0 0 0 0 0 0 0 0 0 0 0	Everything is home-grown, home-made and fresh: it tastes like forgotten food.	NOUN VERB VERB VERB CCONJ ADJ PRON VERB ADP VERB NOUN	0
